,uuid,user_id,docid,model,nonfactual_spans,evidence,error_type,summary,dialogue
0,4ca8ada0-b23c-4072-adb0-c877449519ee,sanjana,13611370,alpaca-13b,,,,Derek asked Judy if she was leaving for the weekend and if she could feed his animals on Friday and Saturday. Judy agreed to both and Derek thanked her. Derek then said he would give Judy his keys on Thursday and Judy agreed.,"Derek: Judy, r you leaving for the weekend?
Judy: Nah
Derek: So can you feed my animals on Friday and Saturday?
Judy: sure, no problem
Derek: Thank you :) Maybe on Thursday I would give you my keys?
Judy: Ok
Derek: Thanks :) Later I will tell you the details :)
Judy: surely"
1,7296ce26-5a95-432b-8c28-560433c31580,sanjana,13611426,alpaca-13b,,,,"Poppy and Harry are talking about their favorite places to visit. Poppy prefers Lisbon, while Harry likes the nightlife in the city. Poppy doesn''t like parties, but she enjoys travelling and sightseeing.","Poppy: Yeah. I definitely prefer Lisbon
Harry: Yeah me too, principally the night
Poppy: To party?
Harry: Yup
Poppy: I don''t like parties. They make me tired
Harry: Really?!
Poppy: I don''t like crowd, drunk people
Harry: Oh OK. It makes sense. That''s the worst part of it. What you like to do for having fun?
Poppy: Travelling. Sightseeing
Harry: For sure that''s on the top of my list too"
2,2883002a-4618-4a11-b04c-679490cd106d,ann_wjbp,13611370,alpaca-13b,,,,Derek asked Judy if she was leaving for the weekend and if she could feed his animals on Friday and Saturday. Judy agreed to both and Derek thanked her. Derek then said he would give Judy his keys on Thursday and Judy agreed.,"Derek: Judy, r you leaving for the weekend?
Judy: Nah
Derek: So can you feed my animals on Friday and Saturday?
Judy: sure, no problem
Derek: Thank you :) Maybe on Thursday I would give you my keys?
Judy: Ok
Derek: Thanks :) Later I will tell you the details :)
Judy: surely"
3,0fcc7da3-6062-4950-a8a4-3e05958e4f48,ann_wjbp,13611426,alpaca-13b,,,,"Poppy and Harry are talking about their favorite places to visit. Poppy prefers Lisbon, while Harry likes the nightlife in the city. Poppy doesn''t like parties, but she enjoys travelling and sightseeing.","Poppy: Yeah. I definitely prefer Lisbon
Harry: Yeah me too, principally the night
Poppy: To party?
Harry: Yup
Poppy: I don''t like parties. They make me tired
Harry: Really?!
Poppy: I don''t like crowd, drunk people
Harry: Oh OK. It makes sense. That''s the worst part of it. What you like to do for having fun?
Poppy: Travelling. Sightseeing
Harry: For sure that''s on the top of my list too"
4,8af9ef4a-7bb4-4b3b-921e-e1f9847b8681,ann_wjbp,13611442,alpaca-13b,,,,Helen asked Simon to get her some tissues because the toilet paper was finished. Simon agreed to get them for her.,"Helen: Hey, Simo, are you there?
Simon: Yep babe, what''s up?
Helen: I was calling you before...
Simon: Sorry I was on the phone, I didn''t hear you... Tell me.
Helen: It''s a bit embarrassing... The toilet paper is finished, could you fetch me some tissues, please?
Simon: Hahaha sure, no worries!"
5,2f6c743f-21f2-445d-a684-3c3710d770de,ann_wjbp,13611508,alpaca-13b,Martha asked Ophelia if they knew each other,Ophelia :  Do we know each other?,Intrinsic_Error,"Martha asked Ophelia if they knew each other and then asked her about the lenses from her profile picture, which Ophelia said were from Crazy Lenses and had reasonable prices and fast shipping.","Martha: Hey, can I ask you a question?
Ophelia: Do we know each other?
Martha: We don''t, but do you mind if I ask you about the lenses from your profile picture? they are awesome and I would like to buy the similar ones
Ophelia: it''s from Crazy Lenses. They have quite reasonable prices and very fast shipping.
Martha: Thanks!!! I''ll check them :)
Ophelia: No problem :)"
6,268fb027-cdce-477f-b9ab-012c874271bc,ann_wjbp,13611559,alpaca-13b,,,,Rashi was confused about her career options and discussed with her friends. She was unsure of how to choose a career and asked her teacher for advice. The teacher suggested that she should choose a career based on her interests and encouraged her to learn and progress over time. Rashi was grateful for the advice.,"Teacher: Rashi, why are you so low? 
Rashi: Ma’am I’m a bit confused about my career. 
Teacher: What is your confusion?
Rashi: I was discussing with my friends about the career options. 
Teacher: Hmm.
Rashi: There are too many to choose from.
Teacher: Choose a career based on what truly interests you. 
Rashi: I have many that interests me. How does it determine the career?
Teacher: The passion you have for what you do drives you to success. 
Rashi: But what about earnings?
Teacher: Remember at some point of time one should learn to balance  between duties and success.
Rashi: How do I do that?
Teacher: Choose a career which interests you, get experienced and try to progress and widen the scope after a while.
Rashi: Hmm, ok.
Teacher: Something like earn and learn sort of..
Rashi: You are so right. I will remember this.
Teacher: So hope I managed to answer your questions.
Rashi: Yes mam! Thank you very much! 
Teacher : You are most welcome, Rashi."
7,8efcddb3-0925-4321-b88c-fe90f5bc1671,ann_wjbp,13611640,alpaca-13b,Ann is planning a surprise birthday party,Ann :  What should I prepare 4 my dad's birthday?,Intrinsic_Error,"Ann is planning a surprise birthday party for her father''s 50th birthday, but she''s not sure what to do. She and her friend Fiona discuss ideas, such as a movie ticket, event, or something they can do together. They eventually settle on a team activity like paintball, which they think the whole family can enjoy.","Ann: What should I prepare 4 my dad''s birthday?
Fiona: How old is he?
Ann: turning 50
Fiona: wow, a round birthay, it must be sth big
Ann: I know, but I don''t have any idea
Fiona: surprise party?
Ann: My dad hates dose
Fiona: ok, so what does he like?
Ann: I don''t know, he watch a lot of military movie
Fiona: well, a movie ticket is probably not what you thought of
Ann: not even close
Fiona: Maybe some event. U know like bungee jumping or parachute jump
Ann: that would be nice but he''s afraid of heights
Fiona: damn, maybe sth you can do together
Ann: well I was plannig dinner with the whole family, but that''s not enough
Fiona: yes, there should be sth special also
Ann:  I know, but I''m out of 
Fiona: Let me think. Nothing with heights but maybe sth on the ground? Racing? Horse riding?
Ann: ok, it''s a good direction. Maybe some team play, we could go with the whole family
Fiona: u said he likes military... maybe paintball? 
Ann: I don''t know how my mum will react but I like it :D
Fiona: I guess she''s not into military
Ann: not really, no. But it''s dad''s birthday so she has to accept it. Thx for the help
Fiona: no problem"
8,b8883f4d-a610-426f-bce1-1308c43adf96,ann_wjbp,13611734,alpaca-13b,Paul,Not found,,Paul Pogba scored a great goal and his teammates were impressed with his performance. They discussed how he has matured under the trust of his manager and is now rewarded with a goal for his efforts.,"Richie: Pogba
Clay: Pogboom
Richie: what a s strike yoh!
Clay: was off the seat the moment he chopped the ball back to his right foot
Richie: me too dude
Clay: hope his form lasts
Richie: This season he''s more mature
Clay: Yeah, Jose has his trust in him
Richie: everyone does
Clay: yeah, he really deserved to score after his first 60 minutes
Richie: reward
Clay: yeah man
Richie: cool then 
Clay: cool"
9,e3307c18-795c-4874-af7d-2ca2e76da63e,ann_wjbp,13682118,alpaca-13b,restaurant,Not found,Extrinsic_Error,Ben and Steven have agreed to get pizza from Marco''s restaurant.,"Ben: pizza tonight?
Steven: sure thing!
Ben: at Marco''s?
Steven: (y)"
