		Extrinsic-Entity	Extrinsic-Event	Extrinsic-NP	Intrinsic-Entity	Intrinsic-Event	Intrinsic-NP	Other Errors: Noise	Comments
article	"-LRB- CNN -RRB- There was a larger message in the article about a purported gang rape that Rolling Stone retracted on Sunday night -- a part of the story that was never disputed : The University of Virginia is under continuing investigation over how it handles sexual assault on campus . The school has never expelled a single student for sexual assault -- even when the student admitted to it . The Virginia attorney general asked the law firm of O'Melveny & Myers to take a look at how the university historically handled allegations of sexual assault by its students . That includes how UVA officials handled the allegations in the discredited Rolling Stone article by a student the magazine called `` Jackie , '' especially since the school knew about the allegations for more than a year before the article came out . The alleged gang rape at a fraternity house was in 2012 , and Jackie told the university about it the next spring . She started telling her story very publicly , including at a `` take back the night '' rally . But Charlottesville police did n't hear about it until after a separate incident in the spring of 2014 , in which Jackie claimed someone threw a bottle that hit her in the face . When a university dean arranged for her to talk to police about that alleged assault , she also told the story of the alleged 2012 incident . In both cases , police said Jackie refused to cooperate and so they could not pursue the case . But more women came forward to talk about their experiences -- women whose stories were not as dramatic or horrific as Jackie 's . Rolling Stone 's story opened up a conversation about the topic , and then women began coming forward to talk about a culture on campus that was not sensitive to victims . Many women told CNN about a euphemism for the word rape used by other students on campus . They 'd call it a `` bad experience . '' Others told CNN that there were fraternities with reputations for being `` rapey '' and for using date-rape drugs . That some judged who could come in based on the sluttiness of a woman 's outfit . And if a woman did report her rape , some women complained that the internal process did n't seem worth it if their abuser would n't be kicked out of school . Rolling Stone had a line in its original story : `` UVA 's emphasis on honor is so pronounced that since 1998 , 183 people have been expelled for honor-code violations such as cheating on exams . And yet paradoxically , not a single student at UVA has ever been expelled for sexual assault . '' After the article published , UVA admitted this and instituted a zero-tolerance policy on sexual assault going forward -- although that policy was never defined , so it 's unclear what it means . When the story was deleted from Rolling Stone 's website , that was lost . `` You lose a lot of other people 's voices who were in that article , '' said Sarah Roderick , a survivor and UVA student , `` and a lot of good things that could have come about . Fixing problems with administration here and on our campus '' -- and , she added , across the nationo . Along with the O'Melveny & Myers investigation , there 's also an open Title IX investigation into UVA by the U.S. Department of Education as a result of a civil suit . The attorney who filed the suit , James Marsh , told CNN that UVA medical staff lost or destroyed evidence from the alleged sexual assault victim he 's representing , making it impossible for her to move forward and get justice . When the Columbia Journalism School 's 12,000-plus-word critique is summed up , it really boils down to this : The mistake could have been avoided if the writer , Sabrina Rubin Erdely , had picked up the phone and made just a few more phone calls to the friends of Jackie who she claimed were with her that night . They 'd later tell other media outlets , including CNN , that they remembered a very different story . Rolling Stone says their account would have been a red flag . And all three say they would have talked if they 'd been called . Ryan Duffin , one of the trio , said he felt deceived by Jackie , but he also pointed out that Erdely 's mistake in fact-checking was about one single incident , and the fallout has caused a much bigger issue to be lost . `` Had she gotten in direct contact with us , it probably would n't have been printed , at least in that way , '' he said . `` A lot of the article was still based in truth , but the focal point would have been different . '' It might have been less dramatic , but it would have probably focused on some of the other UVA students who shared much more common stories of acquaintance rape on campus . `` I think my problem with it was that this reporter wanted to sensationalize an experience that 's not very common , '' Roderick said . '' ... And I wonder if it would have been different if -LRB- it dealt -RRB- with someone with a less horrific story -- something that happens to more people . I think this discredits what a lot of survivors go through . Something this physically horrific is not what everyone goes through . Now it 's like , ` If I was n't assaulted by more than one man then my story is not as worthy of attention . ' It 's frustrating that this is how rape is portrayed on college campuses because this is not the norm . '' Before the report came out , Abraham Axler , the student body president , said that some good had come from the article because it forced UVA to institute new policies and to open up a conversation on a topic that needed to be discussed nationwide . But some survivors and advocates are afraid the retraction set back their progress . `` I do feel like there 's a possibility people will be afraid to come forward . If you come forward and share your story , if you do n't have the date right , every detail down , you 'll think , ` I 'm going to be accused of being a liar . It 's easier for me to keep it to myself , ' '' Roderick said . `` There are very serious and unresolved questions about the university 's performance , '' said Steve Coll , dean of the Columbia School of Journalism . `` Rolling Stone teed that subject up . I would n't say that everything about Rolling Stone 's treatment of that subject was perfect , but it certainly does n't fall under the same category as their reporting about Jackie 's narrative . ''"								
gold	"University of Virginia is under continuing investigation over how it handles sexual assault on campus . Some fear retraction of Rolling Stone story about one case takes focus off the broader issue . After the story came out , UVA instituted a zero-tolerance policy on sexual assault going forward ."								
generated	"the alleged gang rape was in 2012, and jackie says it's never expelled from a single student for sexual assault on campus."					Jackie says			
									
article	"Des Moines , Iowa -LRB- CNN -RRB- Martin O'Malley told reporters in Iowa on Friday that inevitability -- a term bandied about regarding Democratic presidential frontrunner Hillary Clinton -- is not unbreakable . `` I 've seen it before , '' the former Governor of Maryland and possible presidential contender said . `` History is full of examples where the inevitable frontrunner was inevitable right up until she was no longer or he was no longer inevitable . '' Clinton was considered inevitable to win the nomination in 2008 but ended up losing to Barack Obama . O'Malley had previously dropped the inevitability comment in a television interview last month . The former governor , who capped off his two-day trip to the first-in-the-nation caucus state with a speech to the Polk County Democrats in Des Moines , said that although Clinton is an `` eminently qualified candidate , '' the Democratic Party is full of `` good leaders . '' `` History is full of examples where people who are not very well known nationally can be very well known once they are willing to make their case to the people of Iowa , '' O'Malley said . In some polls , he has scored in the low single digits in the state . In a March CNN/ORC poll of national Democrats , only 1 % picked O'Malley . In a January poll by Bloomberg Politics and the Des Moines Register , O'Malley was also at 1 % among Iowa Democrats . Clinton , who leads most polls by upwards of 40 points , is planning to launch her presidential candidacy on Sunday through a video message on social media , a person close to her campaign-in-waiting told CNN on Friday . While he would n't say much about Clinton , when asked about her candidacy , O'Malley said , `` if leaders believe that they have the experience and the framework to move our country forward , they should run . And they should engage with voters and our country would be the better for it . '' O'Malley , like other Democrats , appears to refrain from directly attacking Clinton . Although last month on ABC , he said that the presidency is `` not some crown to be passed between two families , '' he has not focused on her . He has , however , openly teased a presidential run . `` I know that , as Democrats , we expect -- and I have heard this all over the country -- the Democrats expect a robust conversation about the issues we face as a nation and the challenges we face , '' he said . `` They believe that that conversation needs to take place in something as important as a presidential primary . '' He concluded : `` It would be an extreme poverty indeed if there was only one person willing to compete for our party 's nomination for President . ''"								
gold	"He made the statement before in March . O'Malley is low in the polls with Democrats , but he has been flirting with a presidential run ."								
generated	"former governor of maryland says clinton is an ""good leaders"" candidate."		Clinton is an “good leaders” candidate						
									
article	"-LRB- CNN -RRB- The classic video game `` Space Invaders '' was developed in Japan back in the late 1970 's -- and now their real-life counterparts are the topic of an earnest political discussion in Japan 's corridors of power . Luckily , Japanese can sleep soundly in their beds tonight as the government 's top military official earnestly revealed that the country 's Air Self Defense Force -LRB- ASDF -RRB- had never encountered an extraterrestrial unidentified flying object . Responding to a query from flamboyant former wrestler-turned-lawmaker Antonio Inoki , Defense Minister Gen Nakatani told the Diet , Japan 's parliament , that his jets had , to date , never come across any UFOs from outer space . `` When the Air Self Defense Force detects indications of an unidentified flying object that could violate our country 's airspace , it scrambles fighter jets if necessary and makes visual observation , '' Nakatani said . He continued : `` They sometimes find birds or flying objects other than aircraft but I do n't know of a case of finding an unidentified flying object believed to have come over from anywhere other than Earth . '' Inoki has appeared in the U.S.-based WWE -- which describes him as `` among the most respected men in sports-entertainment '' -- and is the founder of the New Japan Pro Wrestling organization . He entered Japan 's Upper House for a second stint in politics in 2013 . He also famously fought Muhammad Ali in 1976 , in one of the first-ever mixed-discipline matches , which would later pave the way for today 's wildly popular Mixed Martial Arts contests . Before his return to politics he was a regular fixture on Japanese TV variety shows and has promoted a slew of products , from hot sauce to banks . The maverick politician also traveled to Iraq in 1990 to try to secure the release of Japanese hostages , and has more recently attempted to replicate former NBA star Dennis Rodman 's `` basketball diplomacy '' by staging a wrestling tournament in North Korea . He reportedly converted to Islam in the 1990s , although he says he practices both Islam and Buddhism . The lawmaker , who is universally known in Japan for his colossal chin and once-ever-present red scarf -- these days often replaced with a red necktie -- as much as for his political achievements , had asked a Upper House Budget Committee meeting if aircraft were ever scrambled to meet extraterrestrial threats , and if research was being done into alien visitors , prompting Nakatani 's response . Inoki also claims to have seen a UFO with his own eyes , but admitted that he did n't know personally if aliens existed . The exchange was n't the first time Japanese politicians have discussed the implications of visitors from another planet . In 2007 then-Defense Minister Shigeru Ishiba pondered the legal ramifications , under Japan 's pacifist constitution , of a defense against an invasion from outer space . READ MORE : Japan unveils Izumo , its largest warship since World War II ."								
