	Id		Extrinsic - Entity	Extrinsic-Event	Extrinsic-NP	Intrinsic-Entity	Intrinsic-Event	Intrinsic-NP	"Other Errors: Noise, Grammar"	Comments								
Source	17532613	"the country's consumer watchdog has taken apple to court for false advertising because the tablet computer does not work on australia's 4g network. apple's lawyers said they were willing to publish a clarification. however the company does not accept that it misled customers. the australian competition and consumer commission - lrb - accc - rrb - said on tuesday : ` ` apple's recent promotion of the new ` ipad with wi - fi + 4g'is misleading because it represents to australian consumers that the product can, with a sim card, connect to a 4g mobile data network in australia, when this is not the case.'' the watchdog then lodged a complaint at the federal court in melbourne. at a preliminary hearing, apple lawyer paul anastassiou said apple had never claimed the device would work fully on the current 4g network operated by telstra. apple says the new ipad works on what is globally accepted to be a 4g network. the matter will go to a full trial on 2 may. the apple ipad's third version went on sale earlier this month, with australia the first country where it was available. shoppers lined up by the hundreds at apple stores on opening day and the company said it had been its strongest ipad launch to date. the accc said it was seeking an injunction on sales as well as a financial penalty against apple, corrective advertising and refunds to consumers. on its website, apple does state that 4g lte is only supported on selected networks in the us and canada."																
Gold		us technology firm apple has offered to refund australian customers who felt misled about the 4g capabilities of the new ipad.																
Generated		apple has been accused of misleading customers in australia over its new ipad 3.0 version.			3.0													
																		
Source	37331990	"no international side has toured bangladesh since 20 people were killed in a siege at a cafe in dhaka in july. the england and wales cricket board said in august that tour would go ahead following a security review. jos buttler will captain the one - day side, with the squads for the one - day and test series to be named on friday. the tour features three one - day internationals followed by two test matches. morgan has followed his own course, with the assurance ringing in his ears that nothing is going to happen, and i don't see how they can now sack him england director of cricket andrew strauss said : ` ` while we understand and respect eoin and alex's decision, we are disappointed that they have made themselves unavailable for selection for the bangladesh tour.'' he added that no further withdrawals are expected following ` ` open and honest'' discussions with all the players. england players stuart broad, moeen ali, chris jordan and liam dawson have all publicly said they will tour bangladesh. former england captain michael vaughan has described morgan's decision as a ` ` huge mistake'', while nasser hussain, another ex - skipper of the national side, said morgan ` ` should be with his team''. but team - mate ben stokes tweeted his support for both players. england fly out on 29 september, with the one - day series starting on 7 october and the test series on 20 october. they follow that with a tour of india, which begins on 9 november and features five tests, three odis and three twenty20s. morgan, 29, said this week that he would never go on a tour where security concerns may affect his game. ` ` in 2010, we played an indian premier league game in bangalore and a bomb went off in the ground,'' he said. ` ` we left and went straight to the airport. ` ` another one was playing domestic cricket in bangladesh during political elections and things were incredibly violent. given that no - one has toured there since the terrorist attack adds a bigger decision to it.'' bowlers andrew caddick and robert croft pulled out of england's 2001 tour of india because of safety concerns following the 9 / 11 attacks in new york. ` ` i was"																
Gold		england one - day captain eoin morgan and opening batsman alex hales have opted out of october's tour of bangladesh because of security concerns.																
Generated		"eoin morgan and alex hales have pulled out of the england and wales tour of bangladesh because of security concerns, with england director of cricket andrew strauss saying they are disappointed by the decision."					they are disappointed											
																		
Source	40493408	"in a nod to mr trudeau's fondness for statement socks, he wore canada - themed mountie and maple leaf print ones to welcome his first foreign visitor. mr trudeau opted for a more subtle striped pair on his first official engagement in the republic of ireland. the canadian premier is in the country for a three - day visit. away from talk of socks, trade issues are set to dominate the agenda, with the canada - eu free trade deal expected to be a focal point of talks between the two leaders. mr trudeau arrived in dublin with his wife, sophie gra © goire, and their youngest son, hadrien, on monday. he is in europe for a key g20 summit in hamburg, germany later this week. mr trudeau is also due to meet irish president michael d higgins at his official residence. the visit was arranged in may when mr varadkar's predecessor enda kenny met the canadian leader in montreal. on that occasion, mr trudeau wore special star wars themed socks, as it coincided with the widely - celebrated star wars day on 4 may."																
