,document,summary,model,origin,nonfactual_spans
0,"The Federal Justice Office (FOJ) said the accounts were allegedly used for bribes connected with the granting of marketing rights to tournaments in Latin America and the US.
In addition, the FOJ said it had frozen some $80m (Â£54m) in 13 bank accounts.
The action was taken in response to US requests for legal assistance, it said.
""The US authorities can apply to have these assets handed over if they have a legally valid and enforceable seizure ruling from a US court,"" the FOJ said.
The statement provided no details on who the bank accounts belonged to.
World football's governing body has been in turmoil for several months, following numerous allegations of corruption.
A number of top Fifa officials were arrested at a hotel in Zurich, Switzerland, in May.
Some 14 people were indicted on corruption charges at the end of that month. Another 16 people were charged by the US Department of Justice on 3 December.
And US authorities have in all charged 39 football officials and sports business executives over more than Â£134m ($200m) in alleged bribes for football television and marketing deals.
Swiss prosecutors are also investigating Fifa's management as well as the award of the 2018 and 2022 World Cups to Russia and Qatar.
And earlier this month, Fifa president Sepp Blatter and Uefa boss Michel Platini were suspended for eight years from all football-related activities following an ethics investigation.
They were found guilty of breaches surrounding a Â£1.3m ($2m) payment made to Mr Platini in 2011.
The Fifa ethics committee found the pair had demonstrated an ""abusive execution"" of their positions.
Both deny any wrongdoing.","The Federal Justice Office (FOJ) in Switzerland has frozen $80m in 13 bank accounts in response to US requests for legal assistance. The accounts are allegedly connected with bribes for marketing rights to tournaments in Latin America and the US. The FOJ said the US authorities can apply to have these assets handed over if they have a legally valid and enforceable seizure ruling from a US court. The statement provided no details on who the bank accounts belong to. The action comes as world football's governing body, Fifa, has been in turmoil for several months, with numerous allegations of corruption. Several top Fifa officials were arrested in May and indicted on corruption charges. US authorities have charged 39 football officials and sports business executives over more than $200m in alleged bribes for football television and marketing deals. Swiss prosecutors are also investigating Fifa's management as well as the award of the 2018 and 2022 World Cups to Russia and Qatar. Fifa president Sepp Blatter and Uefa boss Michel Platini were suspended for eight years from all football-related activities following an ethics investigation.</s>",mistral7b,XSUM,
1,"However, the average price is slightly down, falling by 1.1% over the quarter.
The figures were published in the Ulster University's latest Quarterly House Price Index report.
It suggests the ""mixed picture"" could be influenced by a range of factors, including political uncertainty over Brexit and the stalemate at Stormont.
The report was compiled by Ulster University, in partnership with the Northern Ireland Housing Executive and the Progressive Building Society.
It found that the average house price now stands at Â£148,500. The figure has fallen by 3.7% over the year.
But the 2,372 house sales recorded between April and June meant the quarter saw the highest rate of property transactions in a decade.
""This latest survey has mixed messages regarding the health of the Northern Ireland housing market,"" said the report's lead researcher, Professor Stanley McGreal.
""Transaction levels are high suggesting a strong market in the second quarter of 2017, however, this optimism is not reflected in average prices which are generally more subdued,"" the Ulster University academic added.
Progressive's deputy chief executive, Michael Boyd, said: ""There is no doubt that wider economic and political factors are having an impact including uncertainty following the triggering of Article 50, wage growth lagging behind inflation and the potential for the rise in interest rates.""
But he added that there was still ""confidence"" in the housing market, as Northern Ireland remained ""one of the most affordable regions of the UK"".","Ulster University's latest Quarterly House Price Index report shows that the average house price in Northern Ireland has fallen by 3.7% over the year to  £148,500. However, the quarter saw the highest rate of property transactions in a decade with 2,372 house sales recorded between April and June. The report suggests that the ""mixed picture"" of the housing market could be influenced by factors such as political uncertainty over Brexit and the stalemate at Stormont. The lead researcher, Professor Stanley McGreal, said that while transaction levels are high, average prices are generally more subdued.</s>",mistral7b,XSUM,
2,"The incident happened during a candle-lighting ceremony to mark the Jewish festival of Hannukah at Mr Netanyahu's residence.
MP Sharren Haskel and the husband of Tzipi Hotovely, the deputy foreign minister, were not seriously hurt.
Mr Netanyahu's son took the dog in from a rescue home earlier this year.
Prime Minister Netanyahu tweeted a picture of himself with the 10-year-old mixed breed in August.
""If you want a canine, find an adult dog to rescue. You won't regret it,"" he wrote.
Kaiya has met several high profile visitors including US Secretary of State John Kerry.","During a candle-lighting ceremony at Netanyahu's residence, two people were not seriously injured in an incident involving a dog. Netanyahu's son adopted the dog, a 10-year-old mixed breed named Kaiya, from a rescue home earlier this year. Kaiya has previously met high profile visitors including US Secretary of State John Kerry. Netanyahu tweeted about the benefits of rescuing adult dogs.</s>",mistral7b,XSUM,
3,"The Sky Blues beat Swansea City Under-21s on penalties in the last eight after Tuesday's game ended 1-1.
Coventry are bottom of League One and seven points from safety.
""What we have got to do now is put this game in a box, put it on one side and concentrate on the league situation,"" Slade told BBC Coventry & Warwickshire.
Coventry goalkeeper Reice Charles-Cook saved twice in the shoot-out at the Liberty Stadium after Jordan Willis headed a late equaliser, to leave City one victory from Wembley.
The semi-final draw takes place at 11:30 GMT on Thursday.
""The lads took really smart penalties and Cooky made great saves,"" Slade added. ""It would be terrific to get a home semi-final. We are 90 minutes from a big occasion.""
But former Cardiff manager Slade said his side, who are without a win in 11 league matches, now needed to focus on Saturday when they travel to Sixfields to face struggling Northampton.
""We desperately need points but we do have players to come back in. That is a good thing,"" the 56-year-old added.
Slade expects striker Stuart Beavon to train on Thursday or Friday. Kevin Foley is also back in training and and not far away from a return to action, while new signings Charles Vernam and Farrend Rawson are ready to come into the side.","Coventry City beat Swansea City Under-21s on penalties to advance to the semi-finals of the Checkatrade Trophy. Despite being bottom of League One, Coventry is one victory away from Wembley. Manager Mark Slade praised his team's performance and urged them to focus on the league situation. Slade also discussed the upcoming match against Northampton and the potential return of injured players.</s>",mistral7b,XSUM,
4,"Ibrahim Halawa, 21, the son of Ireland's most senior Muslim cleric, was arrested during anti-government protests in Cairo in August 2013.
A cross-party group of TDs met Ibrahim Halawa in prison in Egypt.
The delegation was led by the Dail Speaker (ceann comhairle) Seán Ó Fearghaíl.
Speaking to RTÉ News from Egypt, Mr Ó Fearghaíl said Mr Halawa ""looked healthy and was in very good spirits despite being deeply frustrated"" by his situation.
He said the 21-year-old made repeated requests to be allowed to return home.
Mr Halawa told the TDs about a hunger strike that he has been on intermittently. The delegation asked him to refrain from the strike and look after his health.
On Wednesday, the TDs will meet with the Egyptian president and the speaker of the parliament.
Mr Halawa has been charged, along with 463 others, with inciting violence, rioting and sabotage.
His trial has been postponed 17 times.
The Irish government has been lobbying for Mr Halawa's release and deportation to Ireland.
His family has denied claims that Mr Halawa is a member of the Muslim Brotherhood, Egypt's oldest and largest Islamist organisation.
The Egyptian government has declared it a terrorist group, a claim the organisation rejects.","Ibrahim Halawa, a 21-year-old son of Ireland's most senior Muslim cleric, was arrested during anti-government protests in Cairo in August 2013. He has been charged with inciting violence, rioting and sabotage and his trial has been postponed 17 times. A cross-party group of TDs met him in prison and spoke to him about his situation. The delegation was led by the Dail Speaker Seán Ó Fearghaíl and Mr Halawa told them about a hunger strike he has been on intermittently. The TDs asked him to refrain from the strike and look after his health. The delegation will meet with the Egyptian president and the speaker of the parliament on Wednesday to discuss Mr Halawa's case. The Irish government has been lobbying for his release and deportation to Ireland.</s>",mistral7b,XSUM,
5,"Mourinho could not afford any mistakes in this third-round tie after Premier League defeats by Manchester City and Watford, with a Europa League loss to Feyenoord sandwiched in between.
It was eventually smooth passage, assisted by Northampton keeper Adam Smith, who endured a nightmare evening and played a big part in two of United's goals.
The highly rated 23-year-old picked up a back pass in the 17th minute and when Wayne Rooney's resulting free-kick was blocked, the recalled Michael Carrick fired home the loose ball emphatically.
Alex Revell gave the Cobblers hope of a shock from the penalty spot just before half-time after Daley Blind fouled Sam Hoskins - but this was not the night for an upset.
United regrouped and Ander Herrera's powerful drive put them in front after 68 minutes before Smith's misery was complete seven minutes later when he missed a simple long clearance to allow substitute Marcus Rashford to roll the ball into an empty net.
Relive Wednesday's EFL Cup action
Jose Mourinho has been reluctant to use the 35-year-old England midfield man since his arrival at Old Trafford. This was his first start since Manchester United's win against Leicester City in the Community Shield at Wembley.
On this evidence he surely has a strong case to force his way into Mourinho's plans - not least because he possesses the style and composure to bring the best from United's £89m world record signing Paul Pogba.
Pogba has looked restricted in his early performances and the selection of Carrick, so reliable in possession and even chipping in with a goal here, would allow the France midfield man freedom, play to his strengths and give him the opportunity to do damage further forward.
Carrick's experience and expert reading of the game adds to Mourinho's options and could finally bring the best from his showpiece summer signing. Surely he will start against Leicester City at Old Trafford on Saturday.
As Pogba got the night off and Zlatan Ibrahimovic and Rashford started on the bench with Mourinho making nine changes from United's 3-1 loss to Watford at Vicarage Road, there was no respite for Rooney.
United's embattled captain, who has bore the brunt of much of the criticism aimed at the side this season, was in the starting line-up but endured another night of frustration.
He worked hard but nothing is coming off for the 30-year-old. He missed one easy chance early on and when he did hit the target after Timothy Fosu-Mensah's header hit the bar, he was adjudged offside.
With Carrick and Herrera excelling and with a host of attacking options available to Mourinho, will Rooney's place come under threat against Leicester City at Old Trafford at the weekend?
Northampton may not have been able to spring the big shock and increase the woes for Mourinho by knocking Manchester United out of the EFL Cup - but there was still plenty for the club lying 11th in League One to be pleased about.
The neat Sixfields stadium was packed with a record crowd of 7,798. With a new stand in the process of being built, the club can be proud of the way it handled the big occasion.
Northampton's 31-game unbeaten run ended with defeat by Chesterfield on Saturday and for spells they showed United too much respect. This is, perhaps, understandable, but this was a night when Northampton as a club did itself great credit.
If there was a sadness, it was the disappointment suffered by keeper Smith, who has attracted Premier League attention but was badly at fault here.
Smith was included in the League Two team of the season as the Cobblers clinched the title in the previous campaign. There will be better days ahead for a talented young goalkeeper.
Manchester United manager Jose Mourinho: ""It was as difficult as I was expecting but we looked to be in control for the first 35 minutes and then we looked to be in control for the last 45. I think the team was in control from the beginning and the subs were just a contribution.
""The game should be easier, we should have been playing against 10 men very early in the second half. Northampton fought and they tried to cause us problems which sometimes they did but it was a positive performance overall.
""I don't like to individualise the players, I think it was fine, the midfield were in control.""
Northampton manager Rob Page: ""When you get back in to it at 1-1 you never know.
""I'm really proud of the players, we had to be disciplined. They've had a tough week by their standards but we knew we had to be strong. When you give away soft goals you will get punished.
""He (goalkeeper Adam Smith) was outstanding last season and he'll bounce back from this. He's a strong character, we've all had moments like that as players.""
Match ends, Northampton Town 1, Manchester United 3.
Second Half ends, Northampton Town 1, Manchester United 3.
Attempt missed. Alex Revell (Northampton Town) left footed shot from the centre of the box misses to the left. Assisted by Alfie Potter with a cross.
Attempt saved. Zlatan Ibrahimovic (Manchester United) header from the centre of the box is saved in the centre of the goal. Assisted by Wayne Rooney with a cross.
Corner,  Northampton Town. Conceded by Wayne Rooney.
Alfie Potter (Northampton Town) is shown the yellow card for a bad foul.
Wayne Rooney (Manchester United) wins a free kick on the right wing.
Foul by Alfie Potter (Northampton Town).
Ander Herrera (Manchester United) wins a free kick on the right wing.
Foul by John-Joe O'Toole (Northampton Town).
Corner,  Manchester United. Conceded by Gabriel Zakuani.
Attempt blocked. Alfie Potter (Northampton Town) right footed shot from outside the box is blocked. Assisted by Matthew Taylor.
Attempt missed. Sam Hoskins (Northampton Town) left footed shot from the left side of the box is close, but misses to the left.
Corner,  Northampton Town. Conceded by Chris Smalling.
Attempt saved. Marouane Fellaini (Manchester United) right footed shot from a difficult angle on the right is saved in the centre of the goal. Assisted by Zlatan Ibrahimovic with a through ball.
Daley Blind (Manchester United) wins a free kick in the defensive half.
Foul by Marc Richards (Northampton Town).
Goal!  Northampton Town 1, Manchester United 3. Marcus Rashford (Manchester United) right footed shot from very close range to the centre of the goal. Assisted by Ander Herrera following a fast break.
Daley Blind (Manchester United) is shown the yellow card for a bad foul.
Foul by Daley Blind (Manchester United).
Sam Hoskins (Northampton Town) wins a free kick on the right wing.
Substitution, Manchester United. Marouane Fellaini replaces Morgan Schneiderlin.
Substitution, Northampton Town. Marc Richards replaces Jak McCourt.
Foul by Marcos Rojo (Manchester United).
Sam Hoskins (Northampton Town) wins a free kick in the defensive half.
Goal!  Northampton Town 1, Manchester United 2. Ander Herrera (Manchester United) right footed shot from outside the box to the bottom left corner. Assisted by Marcus Rashford.
Substitution, Northampton Town. Alfie Potter replaces Kenji Gorré.
Delay over. They are ready to continue.
Delay in match Ashley Young (Manchester United) because of an injury.
Morgan Schneiderlin (Manchester United) wins a free kick in the defensive half.
Foul by John-Joe O'Toole (Northampton Town).
Ander Herrera (Manchester United) hits the right post with a left footed shot from outside the box. Assisted by Ashley Young.
Foul by Michael Carrick (Manchester United).
Jak McCourt (Northampton Town) wins a free kick in the attacking half.
Substitution, Manchester United. Marcus Rashford replaces Timothy Fosu-Mensah.
Substitution, Manchester United. Zlatan Ibrahimovic replaces Memphis Depay.
Substitution, Northampton Town. John-Joe O'Toole replaces Harry Beautyman.
Corner,  Manchester United. Conceded by Sam Hoskins.
Corner,  Manchester United. Conceded by Brendon Moloney.
Attempt saved. Memphis Depay (Manchester United) right footed shot from outside the box is saved in the centre of the goal. Assisted by Michael Carrick.","Manchester United has just won 3-1 against Northampton Town in the EFL Cup. The match was closely contested, with Northampton Town showing United too much respect at times. United's midfield was in control, with Ander Herrera and Michael Carrick excelling. Rooney struggled to keep up and missed an easy chance. Northampton Town's keeper, Adam Smith, was at fault for two of United's goals.</s>",mistral7b,XSUM,
6,"Fletcher Shipping, of Portlethen, owned four ships for leasing, with support in the past three years from the Scottish government-funded Scottish Loan Fund.
It had two other ships on order for nearly £17m, using a loan from Santander bank.
But it ran into cash flow problems early this year as the oil price fell.
Administrators at PwC said the daily spot price for hiring offshore vessels dropped from £18,000 to only £3,000.
Prices reflected oil production firms cutting costs and exploration.
The administrators transferred Fletcher Shipping assets to a new company, FS Shipping, in a so-called 'pre-pack' deal.
This was financed with £18m, raised through Grovepoint Capital.
The main assets of Fletcher Shipping, founded in 2007, were the FS Pegasus, FS Aquarius, FS Pisces and FS Taurus.
The pre-pack deal means the operations continue uninterrupted, while shareholders lose out and creditors only recover some of their lending to the collapsed firm.
According to administrators, the transaction had no employment impact, as the vessels crews were contract staff working for other firms.
Keith Fletcher, founder of Fletcher Shipping, said: ""It is testament to the strong reputation of the crews and personnel at Fletcher Shipping that we have secured the confidence of new investors who have helped us recapitalise our business.
""We have worked hard to keep our fleet working throughout the recent downturn in the North Sea - a downturn which has affected the vessel market more harshly than I have witnessed in 30 years of business.
The Scottish Loan Fund is part of the Scottish Investment Bank, which is the investing arm of Scottish Enterprise, the Scottish government's economic development agency.
The loan fund is run by Maven Capital to meet gaps in the market for funding company growth.
Fletcher Shipping had a £5m investment from public funds over 2012 and 2013, as part of a consortium with the Royal Bank of Scotland and Maven Capital client funds.
At the time of announcing the funding package, the head of the Scottish Investment Bank, Kerry Sharp, said: ""Fletcher Shipping is exactly the kind of company the Scottish Loan Fund was established to support. It has excellent potential.""","Fletcher Shipping, a Scottish shipping company, ran into cash flow problems due to the fall in oil prices. The company had four ships for leasing, with support from the Scottish government-funded Scottish Loan Fund and a loan from Santander bank. Administrators transferred the assets of Fletcher Shipping to a new company, FS Shipping, in a pre-pack deal financed with £18m raised through Grovepoint Capital. The main assets of Fletcher Shipping were four ships. The pre-pack deal means the operations continue uninterrupted, while shareholders lose out and creditors only recover some of their lending to the collapsed firm. The Scottish Loan Fund is part of the Scottish Investment Bank, which is the investing arm of Scottish Enterprise, the Scottish government's economic development agency. Fletcher Shipping had a £5m investment from public funds over 2012 and 2013.</s>",mistral7b,XSUM,
7,"The driver of the small black car did not stop at the scene of the collision which happened at about 19:47 on Tuesday in Springfield Gardens.
The child was taken to Raigmore Hospital.
Police Scotland has appealed for witnesses to the incident.","A small black car driver did not stop at the scene of a collision in Springfield Gardens on Tuesday at 19:47. As a result, a child was taken to Raigmore Hospital. Police Scotland is requesting witnesses to come forward and provide information about the incident.</s>",mistral7b,XSUM,
8,"However, a documentary called Tickled shines a spotlight on those who take part in it, when a TV reporter from New Zealand, David Farrier, uncovers not just a quirky sport, but a whole industry, and an underworld with allegations of cyber bullying.
Two years ago, Farrier, known for his ""and finally"" news pieces at his local TV station, discovered what was described as ""competitive endurance tickling"" videos online.
They featured young men in professional sportswear tickling each other.
A US-based company, Jane O'Brien Media, was producing the videos and offering substantial fees for anyone selected to take part in the shoots in Los Angeles.
""Right in the beginning I thought it was entirely innocent, perhaps with a subtext,"" explains Farrier.  ""I thought it was someone's idea of a funny strange sport, as it was in a photography studio, a professional space. All the men were wearing sportswear so I thought it was someone's odd idea of a tickling league.""
""I was intrigued and thought about doing a two-minute feature on it for my show, ""he adds, ""so I got in touch with them. Really, a short feature was all I was aiming for.""
In response however, Farrier, who is bisexual, says he received emails stating that the company did not want to deal with ""a homosexual journalist"".
""I was a little upset but part of me thought it was funny,"" he adds. ""I didn't understand why a company that makes men-only tickling videos would say that.""
""Instinct, intrigue and fascination"" drove him and his co-director Dylan Reeve on to find out more about the videos, despite representatives of the company flying to Auckland to threaten legal action. Farrier successfully raised the money for a documentary using the crowd-funding platform, Kickstarter.
""We probably did go into it quite naively,"" he believes.
""We never expected to find what we did. If you watch the film you'll find it's not really about tickling - it's about power.
""We were interested in the psychology of what made these men take part in the videos, and it was mainly guys who were athletes or military, and from poorer states.""
Although being tickled usually provokes laughter, science has long been interested in whether it's involuntary. Ten years ago, a study at the University of California at San Diego concluded that tickling did not necessarily produce pleasure, just the outward appearance of it.
Alan J Fridlund, a social and clinical psychologist, points out that whether it's enjoyable or not ""depends upon the social context of the tickle. Charles Darwin thought that infant tickling was the basis of adult humour and I agree"".
He added: ""But the insidious side of tickling is that if the tickler has a perverse motive, they will interpret the reflexive responses to tickling as a sign of approval, even when the social context turns dark.
""As the tickler proceeds, he or she is abetted by the nasty fact that strong tickling begins to cause cataplexy, a generalised weakening of the body's striate muscles, and one that many of us have known if we've been 'tickle tortured'. ""
That phrase is repeated by a participant of the tickling videos called TJ, who tells Farrier on camera that he was told taking part ""was for a project, as tickling was being considered as a military tactic for the army, tickle torture. I thought that was untrue"".
TJ says the reason he did it was ""because I was a little desperate for money. I was young at the time and I didn't think anything of it. I would get $2,000.
""On the day, I noticed it was all guys, and I didn't know I would get tied down, but there were athletes there, bodybuilders, a couple of actors I had seen on TV commercials - completely normal people. I still thought, 'I hope no one finds out about this'.""
In the documentary, TJ alleges that after the videos surfaced online, he asked them to be taken down, and was subjected to a campaign of abuse and harassment - including emails being sent to his employer at a high school.
The film claims others involved with making tickling videos have suffered controlling and abusive behaviour. However, Jane O'Brien Media strongly denies any wrongdoing.
The director confesses that his own viewpoint on tickling has shifted since making the film - and getting tickled himself for the purpose of making the documentary.
""There is pain in tickling, it's not always enjoyable. You're not laughing in the way you laugh as a joke. It can be used as torture and power play. There's also always one who is dominant, and one who is submissive. It's a metaphor for the power and control we talk about in the film.
""The innocence of it has gone for me - I don't tickle my nieces any more.""
The one word to sum up his experience, Farrier adds, is ""weird"".
""I was completely bemused a lot of the time about  what I was discovered. You couldn't actually make it up. Some people though think we have - they think it's so unbelievable that it's a spoof mockumentary.""
Tickled is on release in the UK now
Follow us on Twitter @BBCNewsEnts, on Instagram, or if you have a story suggestion email entertainment.news@bbc.co.uk.","The documentary Tickled, directed by David Farrier, exposes the dark side of the tickling industry. Farrier, a TV reporter from New Zealand, discovered the industry two years ago when he stumbled upon competitive endurance tickling videos online. He was intrigued by the videos and wanted to do a short feature on them for his show. However, he received emails from the company, Jane O'Brien Media, stating that they did not want to deal with a homosexual journalist. Farrier successfully raised money for the documentary using Kickstarter and found that the videos were not about tickling, but about power. The documentary claims that others involved with making tickling videos have suffered controlling and abusive behavior. The director, Farrier, confesses that his own viewpoint on tickling has shifted since making the film and getting tickled himself for the purpose of making the documentary. Tickled is now on release in the UK.</s>",mistral7b,XSUM,
9,"Media playback is not supported on this device
Durham and England seamer Mark Wood, 25, who only made his Test debut against New Zealand at Lord's in May, reflects on his achievement in taking the wicket that sealed his country's Ashes series victory against Australia at Trent Bridge on Saturday in just his fifth Test match.
Those are the moments you play the game for, the moments you dream about growing up. I just can't believe it was me.
There was a special atmosphere at Trent Bridge on Saturday. Every morning of a Test, they play 'Jerusalem' over the public address, but this is the first time I've ever known the crowd sing louder than the speakers.
I knew I would be bowling at the start because I had an over to complete from the night before, but captain Alastair Cook joked that unless I bowled four good balls I would be coming off.
The hairs were standing up on the back of my neck. I was thinking: ""I could win the Ashes for England here.""
The problem was that my Durham team-mate Ben Stokes kept bowling at the tailenders, leaving me to bowl at the established batsman Adam Voges. I had a bit of a laugh and joke with him, telling him ""no wonder you've got a six-for"".
Then Voges dug out a yorker and ran a single and I sensed I had a chance.
Australia number 10 Josh Hazlewood shows you a little bit of his stumps when he bats so I thought I'd bowl him a couple of shorter ones to let him know I was there and then have a go at the stumps. I got it exactly where I wanted and it bowled him.
Then came their number 11, Nathan Lyon, and the pressure was on. I could feel the crowd and the expectation. Stuart Broad kept shouting from mid-on that we were one ball away from winning the Ashes.
My first ball was too wide and the second was too straight. Come on Woody, get it right, I thought to myself. I went back to my mark and ran in. It was full and he couldn't get his bat out of the way in time. The ball hit the under-edge and shattered the stumps.
I jumped in the air and, as I turned, Jos Buttler grabbed me. Before I knew it we were all in a big huddle with me in the middle. People were shouting and screaming and I couldn't hear a thing. It was just manic.
When I got home my dad showed me the footage on TV and asked me what Cook was shouting to me but I told him I had no idea. It was that loud.
Eventually we broke away and Cook handed me, Stokesy and Joe Root a stump each. It was a brilliant gesture. He could easily have taken one for himself but he gave them to the young lads who had contributed to the win.
Once we got into the dressing room I thought I could let my emotions out a bit so I started hugging the team masseur and physio. Then I looked up and saw Sky Sports presenter Ian Ward lurking in the corner with a TV camera.
For a moment, I got a bit serious but when Ian Bell started giving an interview I couldn't resist standing behind him and dancing around. Then Rooty put on a mask and did his Bob Willis impression and we all just cracked up laughing.
The best moment of all was leaving the dressing room to do a lap of honour. I don't think I'll ever forget that. Just seeing what winning the Ashes meant to so many people was truly amazing.
When we were halfway round the field, Root and Cook came up to me and told me I had to bring out my imaginary horse, which has become my party piece when it gets boring in the field.
I've been keeping him in the stables all summer and I wasn't keen but they weren't taking no for an answer, so I checked the grass and let it fly for half a bend. I was a bit tired after my bowling spell so I think it was more of a trot than a gallop, but the crowd seemed to enjoy it.
We did some interviews on the field and everyone was a bit emotional. But when the skipper told that joke on the podium about how our coach Trevor Bayliss had only just turned up, it really lightened the mood.
Everyone could see what it meant to him, but to crack a gag at such a big moment really summed up our approach. We've wanted to have fun all series, to express ourselves and play exciting cricket.
Back in the dressing room, it was time for me to roll out the team song I'd been asked to write by Bayliss. He must think I'm either a lyrical genius or just that I have the best craic.
Either way, I spent a lot of time at Edgbaston and Trent Bridge working on it with Jimmy Anderson as my sidekick. We came up with some words for the lads to sing that seemed to go down pretty well and then we sang a special one for Broad because he was man of the match.
I can't reveal the lyrics of the songs... but maybe I will after The Oval.
We stayed in the dressing room until about 8.30pm singing songs and drinking. Being tee-total, I was on the water and orange juice but I still ended up with beer all over me.
Eventually we headed back to the hotel to spend a bit of time with our wives and girlfriends in the bar.
We were there until about midnight and then a few of the lads went out until the early hours. I won't name names, although I definitely heard Stokesy arriving back because his voice is very familiar.
He seemed to have forgotten his room key and was screaming at the door for his partner Claire to let him in. It went on for about half an hour so she was either in a deep sleep or wanted to teach him a lesson!
The reaction has been unbelievable. As well as the usual family members and friends, I've been getting texts and tweets from people I haven't heard from for years. Everyone seems to come out of the woodwork when something like this happens.
When I got home to Ashington in Northumberland on Sunday afternoon, I was expecting my parents to have put the bunting up, but they kept it low key. I've had a few people coming up to me to say well done, but it's been nice to relax and be myself.
I'll be seeing all my mates from the local cricket club on Tuesday. I can't wait to hear what they've got to say. No doubt they'll bring me straight back down to earth.
It will be nice to have a mental break and recharge the batteries before heading back down the M1 next Monday to join up with the squad and start preparing for the fifth Test at The Oval.
Australia will be up for the challenge. They will want to spoil the party and send captain Michael Clarke off into retirement with a big celebration, but we've got to make sure we don't give them a sniff.
Even if it means I'm made to gallop round the boundary on my imaginary horse belting out the team song, I'm desperate to win the series 4-1.
Mark Wood was talking to BBC Sport's Sam Sheringham.",25-year-old Durham and England seamer Mark Wood took the wicket that sealed England's Ashes series victory against Australia at Trent Bridge on Saturday in just his fifth Test match. The moment was one he had dreamed of growing up and he was overwhelmed with emotion. The crowd sang louder than the speakers and Wood was hailed as a hero. He was given a stump each by captain Alastair Cook and the team celebrated with a lap of honour. Wood wrote a team song and spent time with his teammates in the dressing room. The reaction to his performance has been unbelievable and he is looking forward to the fifth Test at The Oval.</s>,mistral7b,XSUM,
